product_name,current_category,layer_1_score
HEKATPY BUCK WHEAT COOKIES 125g,,0
POMEGRANATE CANE,fruits,0
STRAWBERRY LOCAL ANAND BOX,fruits,0
VANILLA FLAVOURED MIILK 180ML HERITAGE,,0
BANANA TREE,fruits,0
BAT PAPAD 200G EVR,,0
CORN FLAKES 200G EVR,,0
HIMALAYAN HONEY 225g APIS,,0
MILLET DOSA BATTER 1Kg DSL,,0
NALLA KARAM 250g AHA,,0
WHEELS PAPAD 200g EVR,,0
WHITE JOWAR SORGHUM RAWA 500GMS SRI AHARYA,,0
AASHIRVAD CORIANDER PWD 200G,vegetables,0
DAMPUDU BIYYAM 1Kg AISHWARYA,,0
LEMON PICKLE 500g  AHA,fruits,0
NARINJAAKAYA KG LOOSE,,0
PLAIN CUP PAPAD 200G EVR,,0
TUTTI FRUITY KG FLYBERRY,,0
IGURU KARAM 100g VELLANKI FOODS,,0
NALLA KARAM 100g VELLANKI FOODS,,0
TATA IODISED CRYSTAL SALT 1KG,,0
TRIANGLE PAPAD 200G EVR,,0
GARLIC PICKLE 250g AHA,vegetables,0
GOLDEN KIWI FRUIT BIG,fruits,0
RED CHILLI PAPAD 200G EVR,vegetables,0
BITTER GAURD KARAM PODI 100g VELLANKI FOODS,vegetables,0
HEKTAPY HEALTHY DEL JOWAR 125G,,0
HEKTAPY RAJGIRI COOKIES 125g,,0
KASOORI METHI PAPAD 200G EVR,vegetables,0
STAR PAPAD 200G EVR,,0
IDLY RAWA ORANGE 1KG AISHWARYA,fruits,0
SMALL AMLA,,0
BAMBINO VERMICELLI 500GM,,0
COKE 250ML,,0
CORN FLOUR 200g EVR,,0
ENG ITEM PARSLEY SAMBERRY,,0
FRUIT BASKET 450 SADGURU,fruits,0
LOTUS ECLAIRS  250G,,0
THREE MANGO RAI PWD 500G,fruits,0
red thotakura,,0
CHIKKUDUKAYA PICKLE 250g AHA,,0
LETTUCE RED ENG ITEM SAMBERRY,vegetables,0
THREE MANGO MIRCHI PWD 200G,fruits,0
THUMMIKURA,,0
WHOLE WHEAT BREAD 400g MR BREADY NANDAS,,0
ASPARAGUS KG SAMBERRY,,0
BITTER GUARD PICKLE 250G VELLANKI FOODS,vegetables,0
FRUIT BASKET 240 SADGURU,fruits,0
KANDI KARAM 250GM AHA,,0
KARIVEPAKU KARAM 250g AHA,,0
MUNAGAKU KARAM 250g AHA,,0
SAUNF 100gm EVR,,0
TAMARIND PICKLE250G VELLANKI FOODS,,0
AASHIRVAD CHILLI PWD 100G,vegetables,0
AMUL INDIA TWILIGHT TRYST 125g,,0
IMP ORANGE CANE,fruits,0
MARATHI MOGGA 50gms EVR,,0
MODERN  CRUST PIZZA BASE 150g,,0
WHITE JOWAR RAWA 500g,,0
MANGO BELLAM AVAKAI 250g AHA,fruits,0
NANDAS Mr BREADRY ZERO MAIDA 450g,,0
TAMARIND PICKLE 500g AHA,,0
ANJEER BOX PACK ANAND,,0
CHICKPEAS 50g FLYBERRY GOURMET,,0
ELEPHANT FOREST HONEY 500G 1+1,,0
MASALA KARAM 250g AHA,,0
ROUND CHEKKALU 250g VELLANKI FOODS,,0
THIS IS CAPPUCCINO 22g CONTINENTAL,,0
HEKATPY PEARL MILLET COOKIE 125g,,0
HEKTAPY OAT COOKIES  125g,,0
THREE MANGO RAI PWD 200G,fruits,0
ASL  IDLY & DOSA BATTER  1KG,,0
CUCUMBER WHITE,vegetables,0
FLYBERRY SPICED CHICKPEAS CRISP 31g,,0
DOUBLE BEANS,vegetables,0
IODIZED SALT 1KG PON,,0
MOONGDAL RICE RAWA 500G AISHWARYA,,0
Snake Gourd Small,vegetables,0
WHEAT GRASS,,0
koyakura,,0
FILTER COFFE STRONG 5 10ml ID FRESH,,0
PARSLEY PACK,,0
SUN MELON YELLOW,,0
THADKA MIX POPU DINUSULU 200G,,0
VARI NUKA AISHWARYA 500G,,0
YELLOW CAULIFLOWER PC,vegetables,0
LETTUCE ROCKET ARUGULA KG ENGLISH ITEM SAMBERRY,vegetables,0
NUVULA KARAM FLYBERRY,,0
REDCHILLY,,0
mulagaku,,0
WALNUT PREMIUM KGS FLYBERRY,,70
CALIFORNIAN ALMOND PREMIUM KG FLYBERRY,,70
DESI COW GHEE 500ml JIVIKA ORGANICS,,70
FULL CREAM MILK 500ml HERITAGE,,70
PANEER 200g SINGLE BLOCK MILKY MIST,,70
Akshayakalpa Organic Ghee 490ml,,70
PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,,70
NATURAL ROCK SALT 1Kg JIVIKA ORGANICS,,70
SESAME OIL 1Lt COLD PRESSED JIVIKA ORGANICS,,70
AKSHAYA KALPA ORGANIC COW GHEE 195ml,,70
FRESH CREAM 250ml UHT MILKY MIST,,70
MILK CHOCOLATE SMOOTH N CREAMY 150g AMUL,,70
NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,,70
NATURAL COW GHEE 500ml JIVIKA ORGANICS,,70
ORGANIC GREEK YOGHURT NATURAL 100g AKSHAYAKALPA,,70
RAISIN N ALMOND 150G CHOCOLATE AMUL,,70
LASSI BLUBERRY 180ml MILKYMIST,,70
LASSI 200ml MILKY MIST UHT ROSE,,70
BUFFALO GHEE 500ml JIVIKA ORGANICS,,70
MILKSHAKE CHOCOLATE 180ml EPIGAMIA,juices,50
MILK SHAKE CHOCOLATE 220ML MILKY MIST,juices,50
CHOCOLATE MILK SHAKE 180ML HERITAGE,juices,50
AKSHAYAKALPA UNSALTED TABLE BUTTER 100g TUB ORGANIC,,50
DRIED DATES YELLOW250 GM,fruits,50
WHITE SEEDLESS GRAPES,fruits,40
PALLI PEANUT CHIKKI 250g VELLANKI FOODS,,40
ABC CANE JUICE,juices,40
PALLI PEANUT VUNDALU 250g VELLANKI FOODS,,40
MOUSAMBI JUICE,juices,40
PINE APPLE JUICE,juices,40
OMANI SEEDLESS 250g FLYBERRY,,40
COOKING BUTTER 500g HERITAGE,,40
CARROT JUICE,juices,40
MUSK MELON JUICE,juices,40
BANANA CASHEWNUT LOAF 350g KALSAN FOODS,fruits,40
NAGPUR ORANGE JUICE,juices,40
AMUL BUTTER 500G SALTED,,40
CARROT N BEETROOT JUICE,juices,40
CHICOOS SAPOTA JUICE,juices,40
JIVIKA NATURALS PEANUT BUTTER500GMS,,40
PAPPAYA JUICE,juices,40
MANGO JUICE,juices,40
BANANAJUICE,juices,40
CRUNCHY BANANA CHIPS 100g FLYBERRY,fruits,40
Beetroot Juice,juices,40
THIS CREAMY COFFEE MOCHA 22g CONTINENETAL,,40
KEERA JUICE,juices,40
Mango Juices,juices,40
GRAPE JUICE,juices,40
DRAGAN FRUIT JUICE,juices,40
LEMON JUICE,juices,40
THIS IS CARAMEL CREAMY COFFEE22g CONTINENTAL,,40
AVOCADO JUICE,juices,40
ANJUR JUICE,juices,40
JUBJUB GUAVA JUICE,juices,40
ASH GOURD JUICE,juices,40
KINLEY WATER 1Lt,,20
FLY BERRY DERI DATES 255g,fruits,50
FLYBERRY DREAMY DERI DATES 400G,fruits,50
FLYBERRY DREAMY DERI DATES 220g,fruits,50
KIMIA DATES PLASTIC BOX 400G ORIGINAL,fruits,50
KIMJO KIMIA DATES 400g ELEPHANT,fruits,50
FLYBERRY MINI MEDJOUL DATES 200g BOX,fruits,50
INDIAN RAISINSGOLDEN KGS FLYBERRY,,50
AFGHANI RAISINS KGS FLYBERRY,,50
FLYBERRY KNOCKOUT KALMI DATES 400g,fruits,50
INDIAN RAISINS GREEN FLYBERRY,vegetables,50
BUTTER UNSALTED 500G AMUL,,50
FLYBERRY KNOCKOUT KALMI DATES 200g,fruits,50
IRANIAN DATES 500g ORIGINAL AM ENTERPRISES,fruits,50
COOKING BUTTER 100g AMUL UNSALTED,,50
DATES POWDER 180g FLYBERRY,fruits,50
FRESH DATES YELLOW BOX ANAND,fruits,50
TNS DATES 200g,fruits,50
MEDJOUL DATES LARGE FLYBERRY loose kgs,fruits,50
FLYBERRY MEDJOUL MAJESTIC DATES 400g BOX,fruits,50
ROASTED SALTED PISTA KG FLYBERRY,,50
APRICOTS ORANGE TURKISH KG FLYBERRY,fruits,50
DERI DATES KG FLYBERRY,fruits,50
FlyberryPrunes,,50
AJWA DATES KGS FLYBERRY LOOSE KGS,fruits,50
AMERI DATES KG FLYBERRY,fruits,50
TONED MILK 500ml HERITAGE,,40
A2 BUFFALO MILK 500ml SIDS FARM,,40
CURD 500g POUCH HERITAGE,,40
SWEET POTATO,vegetables,40
SWEET CORN,,40
CURD TUB 1KG HERITAGE,,40
COW MILK 500ML POUCH SIDS FARM,,40
CABBAGE,vegetables,40
NATURAL CURD 450g SIDS FARM,,40
GAVVALU SWEET 250G VELLANKI FOODS,,40
BUFFALO GHEE 250g  VELLANKI FOODS,,40
PREMIUM MILK BREAD 400g SPENCERS AKSHAYA  FOODS,,40
CARRY BAG 8Kg HOLDING CAPACITY,,40
BLACK SEEDED GRAPES,fruits,40
GHEE ARISELU 250g VELLANKI FOODS,,40
ORGANIC MALAI PANEER 200g AKSHAYAKALPA,,40
RAW PEANUT 1KG,,40
BUFFALO CURD 400g SIDS FARM,,40
SPECIAL  LONG LIFE MILK 500ML HERITAGE,,40
RAW PEANUT500g,,40
COW GHEE 350g SIDS FARM,,40
SWEET CORN SEED,,40
CURD CUP 400GHERITAGE,,40
GOLDEN COW GHEE 500 ML HERITAGE,,40
TOTAL CURD 120GMS HERITAGE,,40
KP MALABAR  PAROTA 5PC ID FRESH,,40
BADAM FLAVOURED MILK 180ML  PP BOTTLE HERITAGE,vegetables,40
BUFFALO GHEE 350g SIDS FARM,,40
TAMARIND SEEDLESS 500g SRI SIVA RUDRA EVR,,40
FREEDOM GROUNDNUTOIL 1LT,,40
COW GHEE 250G VELLANKI FOODS,,40
KOBBARI VUNDALU 250g VELLANKI FOODS,,40
AGMARK GHEE 500 ML HERITAGE,,40
ORGANIC-PROBIOTIC CURD AKSHAYAKALPA,,40
KAJU PAKODI 250g VELLANKI FOODS,,40
ENG ITEM COLOUR CABBAGE SAMBERRY,vegetables,40
SPICY ALOO CHIPS 100g VELLANKI FOODS,,40
SAMBAR  ONION,vegetables,40
GROUND NUT OIL 1Lt. COLD PRESSED MESMARA,,40
AMRUTHA - A2 ORGANIC CURD. 500g AKSHAYAKALPA,,40
ORGANIC CURD. 1KG TUB AKSHAYAKALPA,,40
POMEGRANATE JUICE,juices,40
POHA MEDIUM 500g,,40
AK ORGANIC HIGH PROTEIN PANEER 200g,,40
GREEK YOGURT BLUEBERRY 90g EPIGAMIA,fruits,40
CHEESE SLICES 200g AMUL 10PC PACK,,40
GREEK YOGURT NATURAL 90g EPIGAMIA,,40
GREEN PEAS SEED PAC,vegetables,40
MILK SHAKE STRAWBERRY 180ml EPIGAMIA,juices,40
MODERN MILK PLUS BREAD 450g,,40
GREEK YOGURT 85g  ALPHONSO MANGO  EPIGAMIA,fruits,40
GREEK YOGURT STRAWBERRY 85g EPIGAMIA,fruits,40
SPECIAL LONG LIFE COW MILK 180ML HERITAGE,,40
IMP Orange Juices,juices,40
GREEK YOGURT WILD RASBERRY 85g EPIGAMIA,,40
STRAWBERRY FLAVOURED MILK 180ML HERITAGE,fruits,40
TABLE BUTTER 100g HERITAGE,,40
JAGGERY POWDER 500g JIVIKA ORGANICS,,40
PISTA FLAVOURED MILK 200ML HERITAGE,,40
GREEK YOGURT ALPHONSO MANGO SMOOTHIE 180ml EPIGAMIA,juices,40
CURD CUP 200G HERITAGE,,40
CHEESE SLICES 100g AMUL 5PC PACK,,40
GREEK YOGURT BLUEBERRY SMOOTHIE 180ml EPIGAMIA,juices,40
FRUIT N NUT 150g DARK CHOCOLATE AMUL,fruits,40
PASTEURISED BUTTER 100g AMUL,,40
POOJA GINGELLY OIL 1LTR,,40
MILK SHAKE STRAWBERRY 180ML MILKY MIST,juices,40
ENG ITEM CHINESE CABBAGE SAMBERRY,vegetables,40
BUTTER GARLIC N HERBS 100g AMUL,vegetables,40
GREEK YOGURT STRAWBERRY SMOOTHIE 180ml EPIGAMIA,juices,40
FRUIT YOGHURT BB 100g MILKYMIST,fruits,40
NATURAL THICK CURD  POUCH 400 GMS ID FRESH,,40
GREEK YOGURT VANILLA BEAN 90g EPIGAMIA,,40
FRUIT YOGURT 75g STRAWBERRY EPIGAMIA,fruits,40
CONTINENTAL XTRA INSTANT SOUTH BLEND COFFEE 150g POUCH,,40
YOGHURT STRAWBERRY MILKYMIST,fruits,40
CHEESE BLOCK 200G HERITAGE,,40
SUGAR FREE DARK CHOCOLATE 150g AMUL,,40
YOGHURT  MANGO MILKYMIST,fruits,40
POOJA OIL 500ML,,40
ARTISANAL ORGANIC SET CURD 400g AKSHAYAKALPA,,40
DARK CHOCOLATE 150g BEST WISHES AMUL,,40
BUTTER SCHOOL PACK 100g AMUL,,40
COOKING BUTTER 200G HERITAGE,,40
FRUIT YOGURT 75g ALPHONSO MANGO EPIGAMIA,fruits,40
HULLED WHITE SESAME OIL 1Lt. MESMARA,,40
MILK SHAKE VANILA 180ml EPIGAMIA,juices,40
SAFFLOWER OIL 1Lt. COLD PRESSED MESMARA,,40
XTRA 50gm POUCH  CONTINENTAL,,40
AMUL DARK CHOCOLATE 125G,,40
YOGHURT PEACH 100GM MILKYMIST,fruits,40
CHOCOLATE 150G HBD PACK AMUL,,40
VELLANKI KAKARAKAYA CHIPS 150G,,40
AMUL FRUIT N NUT CHOCOLATE ILU 150g,fruits,40
GREEK YOGHURT 100g MILKY MIST,,40
YOGURT MANGO 90g AKSHAYA KALPA,fruits,40
BITTER CHOCOLATE 150g AMUL,vegetables,40
FLAX SEED OIL 1L MESMARA,,40
GREEK YOGURT MIXED BERRY ZERO ADDED SUGAR 120g EPIGAMIA,fruits,40
MILK SHAKE VANILLA 180ML MILKY MIST,juices,40
CHIKKUDU SEED PACK,,40
SKYR YOGHURT 100g MILKYMIST,,40
XTRA 200g JAR CONTINENTAL,,40
COFFEE XTRA 100g JAR INSTANT SOUTH BLEND CONTINENTAL,,40
GREEK YOGURT STRAWBERRY ZERO ADD SUGAR 120g EPIGAMIA,fruits,40
ORGANIC- CHEESE SLICES AKSHAYAKALPA,,40
BELGIAN CHOCOLATE 125g AMUL,,40
TABLE BUTTER 500G HERITAGE,,40
ALMONDO 200g CHOCOLATE AMUL,,40
CHEESE SLICES 100g HERITAGE,,40
CHEESE EASY OPEN CHIPLET CUBES 60X8X25g AMUL,,40
BITTER CHOCOLATE 150g 90% BITTER AMUL,vegetables,40
DARK CHOCOLATE 150g AMUL,,40
APPLE JUICE,juices,40
CHEESE SLICES 200g HERITAGE,,40
MALGUDI FILTER COFFEE 500g 60 DEGREE CONTINENTAL,,40
FLYBERRY SPICE OKRA CHIPS 25g,vegetables,40
BARNYARD MILLET UDALU 500G,,40
JIVIKA COLD PRESSED SAFFLOWER OIL 1LTR,,40
MALGUDI COFFEE 500g 80 DEGREE CONTINENTAL,,40
GREEK CEREALS YOGHURT 100g MILKY MIST,,40
CASHEW 320 COUNT 250 GM,,40
GULAB JAM MIX 200g MILKY MIST,,40
NANDA CRM BUN CHOCOLATE 60g,,40
COLD PRESSED WHITE SESAME OIL 500ML MESMARA,,40
SAMBAR PODI 100g VELLANKI FOODS,,40
SWEET ALMOND OIL100ML MESMARA,,40
CONTINENTAL XTRA 50g JAR PLUS 25g JAR FREE SOUTH BLEND,,40
CRUNCHY BANANA CHIPS 250g FLYBERRY,fruits,40
MILK SHAKE STRAWBERRY 180ML HERITAGE,juices,40
PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,,40
AMUL PROCESSED CHEESE BLOCK200g,,40
CHEESE CUBES 120g HERITAGE,,40
AMLA CANDY KG FLYBERRY,,40
MALGUDI COFFEE 200g 60 DEGREES CONTINENTAL,,40
NATURAL THICK CURD CUP 400g ID FRESH,,40
MALGUDI COFFEE 200g 80 DEGREES CONTINENTAL,,40
ALMOND REGULAR  250 GM,,40
SHRIKAND MANGO 100g MILKY MIST,fruits,40
SAMBAR ONION CHENNAI,vegetables,40
SPECIALE COFFEE 200g JAR CONTINENTAL,,40
Apple Milk Shake,juices,40
FILTER COFFEE 150ML ID FRESH,,40
POTATO CHIPS 200G EVR,vegetables,40
GREEK HONEY AND FIG YOGHURT 100g MILKY MIST,fruits,40
SHRIKAND ELAICHI 100g MILKY MIST,,40
AMUL CHEESE SPREAD PLAIN 200g,,40
CHEESE SPREAD 200g AMUL,,40
FILTER COFFEE 150ML NEW BOLD ID FRESH,,40
HAZELNUT CHOCOLATE SPREAD 200g,,40
FINGER CHIPS PAPAD 200G EVR,,40
APPLE MILKSHAKES,juices,40
CALIFORNIA BLACK seedless GRAPES,fruits,40
APPLE BARE,fruits,40
CRUNCHY BANANA CHIPS 65g FLYBERRY,fruits,40
SRI DIVYA DEEPARDHANA OIL 910 ML,,40
PUTNALU KOBBARIKARAM 250g AHA,,40
ARTISANAL CURD 400g EPIGAMIA,,40
CREAMY COFFEE HAZELNUT 22g CONTINENTAL,,40
FLYBERRY CRUNCHY BANANA CHIPS 25g,fruits,40
AKSHYAKALPA ORGANIC TONED MILK UHT 1Lt. TETRA,,40
CHEESE SPREAD GARLIC200G AMUL,vegetables,40
KOBBARI KARAM 250g AHA,,40
OKRA CHIPS VACUUM FRIED 20g FLYBERRY,vegetables,40
FLYBERRY CRISPY SWEET CORN 12g,,40
AKSHAYAKALPA TABLE BUTTER SALTED 100g TUB ORGANIC,,40
ORANGE JUICE,juices,40
RED SEEDLESS GRAPES,fruits,40
Moosambi Economy,,40
SPICED TARO CHIPS 30g FLYBERRY GOURMET,,40
CDM CRACKLE 36G,,40
MILK BREAD 350g SPENCERS GOLDEN CRUST NANDA,,40
Mango Milk Shake,juices,40
COW MILK 500ml GOLDEN HERITAGE,,40
BRITANNIA MILK BIKIS 71GM,,40
DR GOOD EGGS CAROTENOID 30 PACK,,20
NUTRI+ WITH IMMUNITY BOOSTERS - 30 EGGS TRAY ABHI EGGS,,20
VITAMIN D3 IMMUNITY BOOSTER 30PC PACK ABHI EGGS,,20
KINELY WATER 500ml,,20
WATER APPLE BOX,fruits,20
BAILLEY WATER  500ML,,20
BAILLEY  WATER 1LTR,,20
BAMBINO ROASTED VERMICELLI 800G,,20
WATER MELON PLATE,,20
CARRY BAG MEDIUM 5Kg HOLDING CAPACITY,,40
PRM HMT RAW RICE 26KG BAG GAJANAN,,40
CASHEW 320 KG FLYBERRY,,40
WALNUT REGULAR  KGS FLYBERRY,,40
CASHEW BROKEN 2 PIECE  KGSFLYBERRY,,40
CALIFORNIAN ALMOND REGULAR KG  FLYBERRY,,40
CASHEW TIKKA FLAVOUR FLYBERRY,,40
PRM HMT RICE 26KG BAG GAJANAN,,40
SONA MASURI TELANGANA STEAM RICE 26KG GAJANAN,,40
ALMOND DRAGES KG LOOSE FLYBERRY,,40
FlyberryHazelnut,,40
FlyberryCashew180,,40
FLYBERRY CASHEW 4 PIECE,,40
PERI PERI CASHEW FLYBERRY,,40
SPICE ALMOND DRAGEE KG LOOSE FLYBERRY,,40
CASHEW WITH CHOCO COATED FLYBERRY,,40
FlyberryPeriPeriAlmond,,40
CARRY BAG SML 1Kg HOLDING CAPACITY,,40
PURE O FRESH EGGS 30 pack,,20
PANEER 200G HERITAGE,,20
FRESH LOOSE PANEER,,20
PANEER 500G HERITAGE,,20
PURE O FRESH EGGS 6 PACK,,20
EGGS 6PC JUST LAID VN POULTRY,,20
SID FARMS MALAI PANEER 200g,,20
DATE BITES 160g FLYBERRY,,20
DR GOOD EGGS CAROTENOID 12 PACK,,20
PANEER 200G ID FRESH,,20
EGGS 12PS FARM MADE FREE RANGE U N V,,20
EGGS 6PC FARM MADE FREE RANGE U N V,,20
VITAMIN D3  WITH IMMUNITY BOOSTERS - 6 EGGS PACK  ABHI EGGS,,20
NUTRI+ WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,,20
DOSE WITH IMMUNITY BOOSTERS - 6 EGGS PACK ABHI EGGS,,20
PREMIUM SANDWICH BREAD 400g SPENCERS AKSHAYA FOODS ENGLISH RECIPE,,20
BROWN EGGS 6PC UPF HEALTHY U N V,,20
FRESH CREAM 250ML AMUL,,20
AK COUNTRY EGGS 6PC PACK AKSHAYA KALPA,,20
FRESH PANEER BLOCK 200g AMUL,,20
EGGS 6PC UPF HEALTHY WHITE U N V,,20
NANDA CREAM BUN VANILLA 60g,,20
TOFU PANEER 200g SAI RATNA FOODS,,20
ROASTED CHANA 200G,,20
BAMBINO ROASTED VERMICELI 500G,,20
THIS CREAMY CARAMEL 18G CONTINENTAL,,20
BRINTAN TOFU PANEER 200G,,20
FRESH CREAM 200ML HERITAGE,,20
IDLI POWDER AKA GUNDPOWDER AKA KARAM PODI PREMIUM KG LOOSE FLYBER,,20
DRIED CRANBERRY WHOLE KG FLYBERRY,,20
WORKOUT TRAIL MIX KG FLYBERRY,,20
DRUMSTICK,vegetables,0
FIGS AFGHANI NORMAL KG FLYBERRY,,0
PISTA GREEN SHELLED KG FLYBERRY,vegetables,0
DRIED BLUEBERRY KG FLYBERRY,fruits,0
FlyberryBrazilNut,,0
Kashmir Comb Honey 500g BT,,0
FLYBERRY STRAWBERRY DEHYDRATED REGULAR,fruits,0
MINI MEDJOUL FLYBERRY loose kgs,,0
FlyberryMacadamia,,0
SRI LALITHA HMT RICE 10KG,,0
DEHYDRATED MANGO KG FLYBERRY,fruits,0
XTRA SACHET 2.3G CONTINENTAL,,0
DEHYDRATED PINEAPPLE KG FLYBERRY,fruits,0
SRI LALITHA HMT RICE 26KG,,0
DEHYDRATED KIWI KG FLYBERRY,fruits,0
LOTUS TANGO 20G,,0
CINNAMON DALCHINI KG FLYBERRY,,0
DRIED BLACKBERRY KG FLYBERRY,,0
LOTUS KAJOOS 13.5 G,,0
THAI RED CHILLI KG ENGLISH ITEM SAMBERRY,vegetables,0
CUMIN JEERA KG FLYBERRY,,0
BANANA LEAF,fruits,0
ORANGE DRAGES KG LOOSE FLYBERRY,fruits,0
DEHYDRATED PAPAYA  KGS FLYBERRY,fruits,0
THAMALAPAKULU,,0
DEHYDRATED GINGER  KGS FLYBERRY,vegetables,0
HOME DELIVERY CHARGES,,0
PHOOL MAKHANA 250g,,0
TURNIPS KG ENGLISH ITEM SAMBERRY,,0
